Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
1.39315680294529e+001	(6.14840698230691e+000dB,-8.14947745632305e-001°)
1.39636836105593e+001	(6.14841007657774e+000dB,-8.16826811957572e-001°)
1.39958732257261e+001	(6.14841318512740e+000dB,-8.18710212873928e-001°)
1.40281370456195e+001	(6.14841630802173e+000dB,-8.20597958393714e-001°)
1.40604752412990e+001	(6.14841944532692e+000dB,-8.22490058552485e-001°)
1.40928879842186e+001	(6.14842259710945e+000dB,-8.24386523409080e-001°)
1.41253754462274e+001	(6.14842576343610e+000dB,-8.26287363045659e-001°)
1.41579377995707e+001	(6.14842894437398e+000dB,-8.28192587567769e-001°)
1.41905752168908e+001	(6.14843213999050e+000dB,-8.30102207104393e-001°)
1.42232878712281e+001	(6.14843535035338e+000dB,-8.32016231808013e-001°)
1.42560759360218e+001	(6.14843857553062e+000dB,-8.33934671854657e-001°)
1.42889395851109e+001	(6.14844181559059e+000dB,-8.35857537443955e-001°)
1.43218789927353e+001	(6.14844507060195e+000dB,-8.37784838799200e-001°)
1.43548943335364e+001	(6.14844834063365e+000dB,-8.39716586167399e-001°)
1.43879857825583e+001	(6.14845162575501e+000dB,-8.41652789819331e-001°)
1.44211535152486e+001	(6.14845492603563e+000dB,-8.43593460049600e-001°)
1.44543977074592e+001	(6.14845824154544e+000dB,-8.45538607176693e-001°)
1.44877185354475e+001	(6.14846157235470e+000dB,-8.47488241543038e-001°)
1.45211161758773e+001	(6.14846491853400e+000dB,-8.49442373515055e-001°)
1.45545908058195e+001	(6.14846828015423e+000dB,-8.51401013483217e-001°)
1.45881426027534e+001	(6.14847165728662e+000dB,-8.53364171862104e-001°)
1.46217717445671e+001	(6.14847505000276e+000dB,-8.55331859090464e-001°)
1.46554784095590e+001	(6.14847845837450e+000dB,-8.57304085631262e-001°)
1.46892627764385e+001	(6.14848188247408e+000dB,-8.59280861971740e-001°)
1.47231250243271e+001	(6.14848532237407e+000dB,-8.61262198623485e-001°)
1.47570653327588e+001	(6.14848877814734e+000dB,-8.63248106122465e-001°)
1.47910838816819e+001	(6.14849224986711e+000dB,-8.65238595029105e-001°)
1.48251808514594e+001	(6.14849573760695e+000dB,-8.67233675928336e-001°)
1.48593564228699e+001	(6.14849924144077e+000dB,-8.69233359429653e-001°)
1.48936107771090e+001	(6.14850276144282e+000dB,-8.71237656167170e-001°)
1.49279440957898e+001	(6.14850629768767e+000dB,-8.73246576799694e-001°)
1.49623565609442e+001	(6.14850985025025e+000dB,-8.75260132010757e-001°)
1.49968483550236e+001	(6.14851341920584e+000dB,-8.77278332508696e-001°)
1.50314196609001e+001	(6.14851700463005e+000dB,-8.79301189026702e-001°)
1.50660706618673e+001	(6.14852060659886e+000dB,-8.81328712322877e-001°)
1.51008015416413e+001	(6.14852422518860e+000dB,-8.83360913180297e-001°)
1.51356124843619e+001	(6.14852786047592e+000dB,-8.85397802407069e-001°)
1.51705036745932e+001	(6.14853151253786e+000dB,-8.87439390836395e-001°)
1.52054752973248e+001	(6.14853518145180e+000dB,-8.89485689326616e-001°)
1.52405275379728e+001	(6.14853886729548e+000dB,-8.91536708761290e-001°)
1.52756605823806e+001	(6.14854257014699e+000dB,-8.93592460049240e-001°)
1.53108746168202e+001	(6.14854629008478e+000dB,-8.95652954124613e-001°)
1.53461698279928e+001	(6.14855002718768e+000dB,-8.97718201946951e-001°)
1.53815464030302e+001	(6.14855378153487e+000dB,-8.99788214501230e-001°)
1.54170045294954e+001	(6.14855755320589e+000dB,-9.01863002797944e-001°)
1.54525443953840e+001	(6.14856134228066e+000dB,-9.03942577873149e-001°)
1.54881661891247e+001	(6.14856514883944e+000dB,-9.06026950788526e-001°)
1.55238700995807e+001	(6.14856897296291e+000dB,-9.08116132631448e-001°)
1.55596563160506e+001	(6.14857281473208e+000dB,-9.10210134515027e-001°)
1.55955250282694e+001	(6.14857667422835e+000dB,-9.12308967578196e-001°)
1.56314764264094e+001	(6.14858055153348e+000dB,-9.14412642985745e-001°)
1.56675107010813e+001	(6.14858444672965e+000dB,-9.16521171928401e-001°)
1.57036280433354e+001	(6.14858835989934e+000dB,-9.18634565622881e-001°)
1.57398286446620e+001	(6.14859229112549e+000dB,-9.20752835311952e-001°)
1.57761126969933e+001	(6.14859624049139e+000dB,-9.22875992264497e-001°)
1.58124803927037e+001	(6.14860020808070e+000dB,-9.25004047775576e-001°)
1.58489319246110e+001	(6.14860419397749e+000dB,-9.27137013166483e-001°)
1.58854674859776e+001	(6.14860819826620e+000dB,-9.29274899784811e-001°)
1.59220872705115e+001	(6.14861222103167e+000dB,-9.31417719004517e-001°)
1.59587914723672e+001	(6.14861626235913e+000dB,-9.33565482225976e-001°)
1.59955802861465e+001	(6.14862032233420e+000dB,-9.35718200876055e-001°)
1.60324539069002e+001	(6.14862440104289e+000dB,-9.37875886408166e-001°)
1.60694125301286e+001	(6.14862849857162e+000dB,-9.40038550302331e-001°)
1.61064563517825e+001	(6.14863261500718e+000dB,-9.42206204065246e-001°)
1.61435855682647e+001	(6.14863675043681e+000dB,-9.44378859230342e-001°)
1.61808003764305e+001	(6.14864090494811e+000dB,-9.46556527357852e-001°)
1.62181009735891e+001	(6.14864507862907e+000dB,-9.48739220034868e-001°)
1.62554875575047e+001	(6.14864927156815e+000dB,-9.50926948875414e-001°)
1.62929603263970e+001	(6.14865348385416e+000dB,-9.53119725520497e-001°)
1.63305194789432e+001	(6.14865771557634e+000dB,-9.55317561638182e-001°)
1.63681652142779e+001	(6.14866196682434e+000dB,-9.57520468923650e-001°)
1.64058977319952e+001	(6.14866623768823e+000dB,-9.59728459099261e-001°)
1.64437172321491e+001	(6.14867052825847e+000dB,-9.61941543914626e-001°)
1.64816239152549e+001	(6.14867483862598e+000dB,-9.64159735146655e-001°)
1.65196179822900e+001	(6.14867916888205e+000dB,-9.66383044599650e-001°)
1.65576996346951e+001	(6.14868351911844e+000dB,-9.68611484105331e-001°)
1.65958690743754e+001	(6.14868788942728e+000dB,-9.70845065522940e-001°)
1.66341265037015e+001	(6.14869227990118e+000dB,-9.73083800739280e-001°)
1.66724721255104e+001	(6.14869669063313e+000dB,-9.75327701668782e-001°)
1.67109061431069e+001	(6.14870112171657e+000dB,-9.77576780253588e-001°)
1.67494287602642e+001	(6.14870557324538e+000dB,-9.79831048463597e-001°)
1.67880401812254e+001	(6.14871004531386e+000dB,-9.82090518296543e-001°)
1.68267406107045e+001	(6.14871453801672e+000dB,-9.84355201778049e-001°)
1.68655302538872e+001	(6.14871905144916e+000dB,-9.86625110961710e-001°)
1.69044093164324e+001	(6.14872358570679e+000dB,-9.88900257929139e-001°)
1.69433780044731e+001	(6.14872814088565e+000dB,-9.91180654790054e-001°)
1.69824365246172e+001	(6.14873271708224e+000dB,-9.93466313682329e-001°)
1.70215850839493e+001	(6.14873731439351e+000dB,-9.95757246772063e-001°)
1.70608238900310e+001	(6.14874193291682e+000dB,-9.98053466253651e-001°)
1.71001531509027e+001	(6.14874657275003e+000dB,-1.00035498434985e+000°)
1.71395730750841e+001	(6.14875123399141e+000dB,-1.00266181331185e+000°)
1.71790838715757e+001	(6.14875591673970e+000dB,-1.00497396541933e+000°)
1.72186857498599e+001	(6.14876062109411e+000dB,-1.00729145298053e+000°)
1.72583789199018e+001	(6.14876534715427e+000dB,-1.00961428833234e+000°)
1.72981635921508e+001	(6.14877009502029e+000dB,-1.01194248384032e+000°)
1.73380399775412e+001	(6.14877486479276e+000dB,-1.01427605189881e+000°)
1.73780082874935e+001	(6.14877965657271e+000dB,-1.01661500493099e+000°)
1.74180687339159e+001	(6.14878447046162e+000dB,-1.01895935538895e+000°)
1.74582215292048e+001	(6.14878930656149e+000dB,-1.02130911575372e+000°)
1.74984668862464e+001	(6.14879416497473e+000dB,-1.02366429853540e+000°)
1.75388050184174e+001	(6.14879904580427e+000dB,-1.02602491627319e+000°)
1.75792361395867e+001	(6.14880394915348e+000dB,-1.02839098153547e+000°)
1.76197604641161e+001	(6.14880887512622e+000dB,-1.03076250691985e+000°)
1.76603782068614e+001	(6.14881382382685e+000dB,-1.03313950505329e+000°)
1.77010895831740e+001	(6.14881879536017e+000dB,-1.03552198859209e+000°)
1.77418948089014e+001	(6.14882378983150e+000dB,-1.03790997022206e+000°)
1.77827941003890e+001	(6.14882880734661e+000dB,-1.04030346265848e+000°)
1.78237876744807e+001	(6.14883384801179e+000dB,-1.04270247864628e+000°)
1.78648757485203e+001	(6.14883891193379e+000dB,-1.04510703096000e+000°)
1.79060585403527e+001	(6.14884399921989e+000dB,-1.04751713240397e+000°)
1.79473362683250e+001	(6.14884910997782e+000dB,-1.04993279581228e+000°)
1.79887091512877e+001	(6.14885424431585e+000dB,-1.05235403404893e+000°)
1.80301774085955e+001	(6.14885940234270e+000dB,-1.05478086000784e+000°)
1.80717412601090e+001	(6.14886458416764e+000dB,-1.05721328661298e+000°)
